Nivel,Número de Vacantes,OPEC,Asignación salarial,Experiencia,Dependencias ,Estudio
Instructor,1,229013,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: BOYACA- CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,  Municipio: Duitama, Total vacantes: 1","Título de MAESTRIA en NBC: ARTES PLASTICAS, VISUALES Y AFINES
 ,O, NBC:   DISENO
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: ARTES PLASTICAS, VISUALES Y AFINES
 ,O, NBC:   DISENO
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229014,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: HUILA- CENTRO DE DESARROLLO AGROEMPRESARIAL Y TURISTICO DEL HUILA,  Municipio: La Plata, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGRICOLA, FORESTAL Y AFINES
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA CIVIL Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGRICOLA, FORESTAL Y AFINES
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA CIVIL Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229016,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: CESAR-CENTRO DE INNOVACION Y DE GESTION EMPRESARIAL Y CULTURAL,  Municipio: Valledupar, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA BIOMEDICA Y AFINES
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA BIOMEDICA Y AFINES
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229017,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: BOLIVAR- CENTRO AGROEMPRESARIAL Y MINERO,  Municipio: Cartagena De Indias, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229018,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: ATLANTICO- CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL,  Municipio: Sabanalarga, Total vacantes: 1","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229019,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: GUAJIRA-CENTRO AGROEMPRESARIAL Y ACUÍCOLA,  Municipio: Fonseca, Total vacantes: 1","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,3,229020,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: HUILA- CENTRO DE GESTION Y DESARROLLO SOSTENIBLE SURCOLOMBIANO,  Municipio: Pitalito, Total vacantes: 3","Título de MAESTRIA en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRICOLA, FORESTAL Y AFINES
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRICOLA, FORESTAL Y AFINES
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229021,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: DISTRITO CAPITAL-CENTRO DE GESTIÓN INDUSTRIAL,  Municipio: Bogotá D.C., Total vacantes: 2","Título de MAESTRIA en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   QUIMICA Y AFINES
 ,Y, Título de PROFESIONAL en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   QUIMICA Y AFINES."
Instructor,2,229022,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: VAUPES- CENTRO AGROPECUARIO Y DE SERVICIOS AMBIENTALES ""JIRI-JIRIMO"",  Municipio: Mitú, Total vacantes: 1","Título de MAESTRIA en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   FISICA
 ,O, NBC:   GEOLOGIA, OTROS PROGRAMAS DE CIENCIAS NATURALES
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   QUIMICA Y AFINES
 ,Y, Título de PROFESIONAL en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   FISICA
 ,O, NBC:   GEOLOGIA, OTROS PROGRAMAS DE CIENCIAS NATURALES
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   QUIMICA Y AFINES."
Instructor,1,229023,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: BOLIVAR- CENTRO INTERNACIONAL, NAUTICO, FLUVIAL Y PORTUARIO,  Municipio: Cartagena De Indias, Total vacantes: 1","Título de MAESTRIA en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: BIOLOGIA, MICROBIOLOGIA Y AFINES
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229024,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: ANTIOQUIA- CENTRO DEL DISEÑO Y MANUFACTURA DEL CUERO,  Municipio: Itagüí, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA BIOMEDICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA BIOMEDICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229025,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: ANTIOQUIA- COMPLEJO TECNOLOGICO PARA LA GESTION AGROEMPRESARIAL,  Municipio: Caucasia, Total vacantes: 1","Título de MAESTRIA en NBC: AGRONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   MEDICINA VETERINARIA
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   ZOOTECNIA
 ,Y, Título de PROFESIONAL en NBC: AGRONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   MEDICINA VETERINARIA
 ,O, NBC:   OTRAS INGENIERIAS
 ,O, NBC:   ZOOTECNIA."
Instructor,2,229026,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: RISARALDA-CENTRO DE DISEÑO E INNOVACION TECNOLOGICA INDUSTRIAL,  Municipio: Dosquebradas, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229027,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: DISTRITO CAPITAL-CENTRO DE MATERIALES Y ENSAYOS,  Municipio: Bogotá D.C., Total vacantes: 1","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE MINAS, METALURGIA Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229028,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: DISTRITO CAPITAL-CENTRO DE DISEÑO Y METROLOGÍA,  Municipio: Bogotá D.C., Total vacantes: 1","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229029,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: VALLE-CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL CEAI,  Municipio: Cali, Total vacantes: 2","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229030,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: ANTIOQUIA- CENTRO DE TECNOLOGÍA DE LA MANUFACTURA AVANZADA,  Municipio: Medellín, Total vacantes: 1","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,1,229031,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: CAUCA- CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL,  Municipio: Popayán, Total vacantes: 1","Título de MAESTRIA en NBC: EDUCACION
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: EDUCACION
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Instructor,2,229032,4065092,"Seis(6) meses de EXPERIENCIA DOCENTE, 
 Y, Seis(6) meses de experiencia relacionada con la participación en grupos de investigación registrados en COLCIENCIAS y en la gestión de semilleros de investigación desarrollando proyectos en una de las líneas de investigación avaladas institucionalmente por el SENA y en labores de Formación Profesional","Dependencia: CALDAS- CENTRO DE PROCESOS INDUSTRIALES Y CONSTRUCCION,  Municipio: Manizales, Total vacantes: 2","Título de MAESTRIA en NBC: ARQUITECTURA
 ,O, NBC:   DISENO
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRICOLA, FORESTAL Y AFINES
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA CIVIL Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS
 ,Y, Título de PROFESIONAL en NBC: ARQUITECTURA
 ,O, NBC:   DISENO
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRICOLA, FORESTAL Y AFINES
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   INGENIERIA AMBIENTAL, SANITARIA Y AFINES
 ,O, NBC:   INGENIERIA CIVIL Y AFINES
 ,O, NBC:   INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRICA Y AFINES
 ,O, NBC:   INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES
 ,O, NBC:   INGENIERIA INDUSTRIAL Y AFINES
 ,O, NBC:   INGENIERIA MECANICA Y AFINES
 ,O, NBC:   INGENIERIA QUIMICA Y AFINES
 ,O, NBC:   OTRAS INGENIERIAS."
Profesional,1,229033,6188097,Doce(12) meses de EXPERIENCIA PROFESIONAL RELACIONADA,"Dependencia: DIRECCIÓN GENERAL-DIRECCIÓN JURÍDICA,  Municipio: Bogotá D.C., Total vacantes: 1","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   CONTADURIA PUBLICA
 ,O, NBC:   DERECHO Y AFINES
 ,O, NBC:   INGENIERIA ADMINISTRATIVA Y AFINES.

Titulo de postgrado en la modalidad de ESPECIALIZACION EN AREAS RELACIONADAS CON LAS FUNCIONES DEL EMPLEO."
Instructor,3,229034,4065092,"Doce(12) meses de EXPERIENCIA RELACIONADA, 
 Y, Doce(12) meses de EXPERIENCIA DOCENTE, 
 O, Doce(12) meses de Experiencia relacionada con el ejercicio de diseño y acreditar la totalidad de las catorce (14) certificaciones de la ruta formativa en “Competencias Integrales para la Cualificación del Instructor SENA","Dependencia: ATLANTICO- CENTRO INDUSTRIAL Y DE AVIACION,  Municipio: Barranquilla, Total vacantes: 1",Título de PROFESIONAL en NBC: DISENO.
Instructor,7,229035,4065092,"Doce(12) meses de EXPERIENCIA RELACIONADA, 
 Y, Doce(12) meses de EXPERIENCIA DOCENTE, 
 O, Doce(12) meses de Experiencia relacionada con el ejercicio de producción especies mayores y acreditar la totalidad de las catorce (14) certificaciones de la ruta formativa en “Competencias Integrales para la Cualificación del Instructor SENA","Dependencia: QUINDÍO-CENTRO AGROINDUSTRIAL,  Municipio: Armenia, Total vacantes: 1","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   AGRONOMIA
 ,O, NBC:   EDUCACION
 ,O, NBC:   INGENIERIA AGRONOMICA, PECUARIA Y AFINES
 ,O, NBC:   MEDICINA VETERINARIA
 ,O, NBC:   ZOOTECNIA."
Instructor,3,229036,4065092,"Doce(12) meses de EXPERIENCIA RELACIONADA, 
 Y, Doce(12) meses de EXPERIENCIA DOCENTE, 
 O, Doce(12) meses de Experiencia relacionada con el ejercicio de procesamiento de alimentos- lácteos y derivados y acreditar la totalidad de las catorce (14) certificaciones de la ruta formativa en “Competencias Integrales para la Cualificación del Instructor SENA","Dependencia: QUINDÍO-CENTRO AGROINDUSTRIAL,  Municipio: Armenia, Total vacantes: 1","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   QUIMICA Y AFINES
 ,O, NBC:   ZOOTECNIA."
Instructor,1,229037,4065092,"Doce(12) meses de EXPERIENCIA RELACIONADA, 
 Y, Doce(12) meses de EXPERIENCIA DOCENTE, 
 O, Doce(12) meses de Experiencia relacionada con el ejercicio de procesamiento de alimentos- cárnicos y derivados y acreditar la totalidad de las catorce (14) certificaciones de la ruta formativa en “Competencias Integrales para la Cualificación del Instructor SENA","Dependencia: DISTRITO CAPITAL- CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS,  Municipio: Bogotá D.C., Total vacantes: 1","Título de PROFESIONAL en NBC: ADMINISTRACION
 ,O, NBC:   INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES
 ,O, NBC:   QUIMICA Y AFINES
 ,O, NBC:   ZOOTECNIA."
